,Live Spectrum 10-11-2023 10:09:49 - Spikes removed,Live Spectrum 10-11-2023 10:09:59 - Spikes removed,Live Spectrum 10-11-2023 10:10:00 - Spikes removed,Live Spectrum 10-11-2023 10:10:01 - Spikes removed,Live Spectrum 10-11-2023 10:10:02 - Spikes removed,Live Spectrum 10-11-2023 10:10:04 - Spikes removed,Live Spectrum 10-11-2023 10:10:05 - Spikes removed,Live Spectrum 10-11-2023 10:10:06 - Spikes removed,Live Spectrum 10-11-2023 10:10:07 - Spikes removed,Live Spectrum 10-11-2023 10:10:08 - Spikes removed,Live Spectrum 10-11-2023 10:10:09 - Spikes removed,Live Spectrum 10-11-2023 10:10:10 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
410.2106,17.32221,16.817559,17.045202,17.507589,17.44721,16.94721,17.30279,16.96875,16.696801,17.160901,17.31968,17.136831,
410.4922,17.093957,17.099813,17.187293,17.518812,17.193978,17.268501,17.431126,17.068667,16.799855,16.975124,17.587272,17.343543,
410.7738,17.108901,17.000947,17.327651,17.474116,17.202651,17.266099,17.598169,17.197285,16.999053,17.066919,17.371528,17.19918,
411.0553,17.232134,16.566999,17.397317,17.575884,17.1384,17.196433,17.598217,17.2991,16.87055,16.852699,17.125016,16.808066,
411.3369,17.25,16.666069,17.378572,17.649106,17.235713,17.215178,17.400003,17.00804,16.650003,16.923213,16.955359,16.639287,
411.6184,17.135728,16.773204,17.346432,17.142025,17.25,17.190182,17.260728,16.96875,16.082207,17.194612,17.08034,16.453592,
411.9000,17.095547,16.78125,17.137578,16.563594,17.220547,17.216953,17.102735,16.880391,16.03125,17.100938,17.034844,16.525859,
412.1816,17.09375,16.59925,16.912667,16.652583,17.097417,17.643416,17.245416,16.541334,16.12225,16.881417,16.94025,16.53125,
412.4631,17.187376,16.250455,16.812624,17.186797,17.09375,17.843502,17.343626,16.687293,16.218626,16.718957,16.687831,16.593667,
412.7447,16.993367,17.02213,16.688329,16.814158,17.283737,17.035395,16.914882,16.754145,17.056697,16.38412,17.000829,17,
413.0262,16.761863,16.679027,16.722139,16.881779,17.380084,17.189195,17.045112,16.914723,16.833582,16.747559,17.03125,16.991527,
413.3078,16.958528,16.561915,16.773584,16.997445,17.481527,17.226416,16.820166,17.065055,16.669027,17.255111,17.041472,16.853972,
