,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:26,Live Spectrum 10-11-2023 09:49:28,Live Spectrum 10-11-2023 09:49:31,Live Spectrum 10-11-2023 09:49:33,Live Spectrum 10-11-2023 09:49:36,Live Spectrum 10-11-2023 09:49:37,Live Spectrum 10-11-2023 09:49:38,Live Spectrum 10-11-2023 09:49:40,Live Spectrum 10-11-2023 09:49:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
396.1326,16.930204,17.003422,17.03125,17.038094,17.28125,17.260718,16.770984,16.822314,16.965328,16.679752,17.184078,
396.4141,17.125,17.049598,16.989966,17.057053,17.262902,17.079989,16.71961,17.206708,16.955848,17.134174,17.160837,
396.6957,17.113506,17.23096,16.75,16.866738,17.167744,16.994253,16.946478,17.459772,17.108475,17.193247,17.124284,
396.9772,17.069401,17.583204,16.812112,17.017059,17.177342,16.982553,17.145704,17.239842,17.353908,17.198046,16.802342,
397.2588,17.045447,17.615998,17.015149,17.243853,16.934644,17.055401,17.025538,17.037397,17.451697,17.125,16.543543,
397.5404,16.943027,17.472417,16.830835,17.314307,16.784971,17.115806,16.505527,16.884194,17.37686,17.088223,16.264722,
397.8219,17.010584,17.354586,16.561997,17.02142,17.145414,17.104083,16.614416,16.885584,17.45892,16.917337,16.467996,
398.1035,16.991682,17.192669,16.870958,16.875,17.272932,17.159398,16.759445,16.935479,17.129042,16.669737,16.621852,
398.3851,16.867526,17.055968,17.111935,16.887594,17.186559,17.231344,16.887123,17.081156,16.837688,16.430497,16.360994,
398.6666,16.556416,16.958849,16.876548,16.919967,16.945133,17.222566,16.826217,17.131084,16.998452,16.349834,15.980199,
398.9482,16.557756,16.817244,16.71875,16.907831,16.800828,17.202334,16.873419,17.070407,17.067244,16.571009,15.919503,
399.2297,16.751929,16.830376,16.926055,16.906893,16.71875,17.26659,16.842464,16.90625,16.665766,16.910108,16.064429,
399.5113,16.963125,16.954554,16.83509,17.005714,16.957499,17.176072,16.559554,16.957411,16.66491,17.025536,16.258571,
399.7929,16.899103,17.059526,16.575595,17.02619,16.974698,17.044345,16.33869,17,16.924405,16.96875,16.30744,
400.0744,16.723495,17.144252,16.620255,17.077007,16.805246,16.954243,16.331752,17.115511,16.995255,16.853239,16.493019,
400.3560,16.728186,17.257965,16.839338,17.287745,17.086396,16.865564,16.242035,17.309558,17.071936,16.78125,16.584314,
400.6375,16.921433,17.226783,16.980358,17.482146,17.185712,16.972325,16.573225,17.310712,17.136608,16.78125,16.583929,
400.9191,17.13506,17.23252,16.90996,17.44121,16.976169,17.09878,16.75,17.1687,17.13374,16.82627,16.773831,
401.2007,17.069571,17.061314,16.804243,17.193978,16.528877,17.195757,16.915101,17.007071,17.219343,16.890922,17.008851,
401.4822,16.858656,16.901375,16.608656,16.829124,16.628157,17.046156,17.166001,16.820812,17.25,16.955563,17.037844,
401.7638,16.96683,17.003609,16.639665,17.161547,16.121622,16.922835,16.987255,16.961302,16.761288,16.917307,16.72259,
402.0453,16.839308,16.924122,16.709814,17.089308,16.053564,16.825904,16.9375,16.785745,16.843723,16.665213,16.79016,
402.3269,16.645478,16.794902,16.690913,16.533597,16.591403,16.617641,16.631293,16.805674,17.181207,16.290956,16.923848,
402.6085,16.827208,16.839024,16.889708,16.670958,16.916232,16.535976,16.795958,17.130256,17.420958,16.307774,17.081935,
402.8900,16.903613,16.574365,17.025977,16.807227,16.907568,16.381592,16.932227,17.365772,17.557227,16.432227,17.183545,
403.1716,16.875279,16.748328,17.03125,16.657643,16.968193,16.282086,17.092357,17.405971,17.376672,16.716242,17.125557,
403.4532,16.779738,16.84375,16.971017,16.438256,16.995465,16.404738,17.157762,17.087704,17.339215,16.814012,17.094506,
403.7347,16.761592,16.861601,17.030369,16.456254,16.835706,16.377667,17.204469,16.849105,17.127689,16.850009,17.112504,
404.0163,17.457513,17.161869,16.505619,16.255619,17.207513,16.945928,16.971559,16.957165,16.659059,16.443119,16.897822,
404.2978,17.32078,17.249377,16.581642,16.369926,17.09375,17.027422,17.02297,17.148593,16.718127,16.549769,16.823985,
404.5794,17.146565,17.444538,16.704223,16.849044,17.050168,17.029054,17.163288,17.088908,16.952027,16.935304,16.915935,
404.8610,17.058642,17.306649,16.648405,17.236304,16.806649,17.175797,17.03125,17.080054,17.048804,17.087899,16.974601,
405.1425,16.91996,17.29496,16.777421,17.195961,16.760684,17.145566,17.01754,17.121974,17.083869,17.021369,16.965724,
405.4241,17.000166,17.359458,16.851438,16.765542,16.758187,17.21875,16.96875,17,16.945354,16.961395,16.80448,
405.7056,17.137989,17.494729,16.807794,16.780685,16.995294,17.245294,16.96875,17.008848,16.986446,17.262989,16.634413,
405.9872,17.141797,17.413814,16.747124,16.96701,16.924787,17.292827,16.93924,17.041087,16.8837,17.247124,16.696733,
406.2688,16.992813,16.890665,16.46875,17.009609,16.733204,17.195898,16.950743,16.986757,16.55168,17.066133,17.11418,
406.5503,17.179848,17.238844,16.515946,16.921554,17.031893,17.058353,17.140946,16.796554,16.637442,17.37979,17.081951,
406.8319,17.21875,17.413318,16.580977,16.920387,17.213046,17.051091,17.205977,16.744296,16.889137,17.491567,16.985863,
407.1135,17.150042,17.455008,16.466309,17.03125,17.277483,17.152483,17.201242,16.95989,17.082449,17.16511,16.875,
407.3950,16.959563,17.393384,16.314339,17.060661,17.268384,17.202205,17.145224,17.231616,17.099268,16.790447,16.933821,
407.6766,16.859414,16.999142,16.187266,16.921446,17.187422,17.093438,17.093828,17.28125,16.890352,16.812968,17.062656,
407.9581,16.941471,16.639632,16.126986,16.617058,17.139632,16.918897,17.208089,17.214779,16.681543,17.14956,17.158236,
408.2397,16.912167,16.958765,16.612981,16.535133,16.896635,16.9277,17.105584,17.15625,16.769416,16.894786,17.345599,
408.5213,16.82524,17.329812,16.802156,16.54399,16.811302,16.857688,17.024281,17.045188,16.813698,16.501198,17.413219,
408.8028,16.909747,17.542395,16.609703,16.647946,16.972247,16.684003,16.984703,16.832605,16.730551,16.359703,17.180507,
409.0844,17.009517,17.625,16.888632,16.71875,17.051633,16.7473,17.100566,16.607317,16.739133,16.455183,16.838284,
409.3659,17.116499,17.518439,17.275623,16.889248,17.0625,16.897749,17.294061,16.850934,16.728688,16.829622,16.71875,
409.6475,17.267432,17.335332,17.174872,16.96875,17.0625,17.004209,17.210332,17,16.896641,17.146641,17.007823,
409.9291,17.266189,17.119161,17.140061,16.899283,17.0625,16.915472,16.901539,16.953689,16.96875,17.473461,16.962911,
410.2106,17.25,17.08657,17.300669,16.80279,17.255059,16.730581,16.571801,16.88936,16.800261,17.5625,16.689621,
410.4922,17.150083,17.068771,17.268812,17.10598,17.3125,16.987251,17.124482,17.22471,16.500207,17.112873,16.799855,
410.7738,17.150884,17.217803,17.327651,17.213384,17.183081,17.166035,17.28125,17.286616,16.696338,17.025884,16.973169,
411.0553,17.129467,17.223217,17.450884,17.191967,16.861633,17.241067,17.334817,17.227683,16.937484,17.03125,17.241051,
411.3369,17.125,17.080359,17.551784,17.298213,16.895534,17.111609,17.316072,17.163394,17.134819,17.03125,17.502675,
411.6184,16.439367,16.948228,17.448228,17.426772,17.106226,16.608093,17.16966,16.870569,17.127682,17.116954,17.074161,
411.9000,16.345547,16.642969,17.319688,17.408047,17.095547,16.474141,17.067891,16.84375,17.154453,17.095547,16.825078,
412.1816,16.34375,16.655333,16.918167,17.011917,16.760084,16.438417,16.910834,16.93475,17.277583,17.215083,16.751833,
412.4631,16.187707,16.749876,16.843833,16.750331,16.625165,16.406291,16.937459,16.906291,17.437293,17.187541,16.593957,
412.7447,16.848724,16.666199,16.944962,16.293686,16.96875,16.967092,17.470408,17.487564,16.412883,16.626658,16.998342,
413.0262,17.038029,17.041418,17.222139,16.768641,16.984002,16.894387,17.539723,17.029555,16.673197,16.680721,16.951057,
413.3078,17.158805,17.203417,17.276139,17.080973,17.257666,16.713054,17.672167,17.02811,16.976416,16.567611,17.21561,
413.5894,17.160209,17.027839,17.205104,16.954557,17.326693,17.040937,17.462475,17.374453,17.072734,16.638646,17.521016,
413.8709,16.924712,17.025576,17.089487,17.034074,17.1875,17.39205,17.1392,17.590899,17.15625,16.754263,17.360773,
414.1525,16.89484,17.172173,17.082936,16.712449,17.192609,17.494891,17.005705,17.354564,17.140923,16.817013,16.885218,
414.4341,17.191954,17.058046,17.199401,17.029753,17.200898,17.379491,16.892852,17.297605,17.086302,17.035704,17.014858,
414.7156,17.255513,17.01485,17.11425,17.081588,17.1793,17.074662,17.02305,17.506787,17.072113,17.038176,17.303025,
414.9972,16.9375,17.375772,16.594522,16.858217,17.306424,17.328511,17.22637,17.599826,16.724826,16.553337,17.171489,
415.2787,16.971288,17.298144,16.457765,17,17.043068,17.323485,17.266894,17.871628,16.996628,16.803219,17.227197,
415.5603,17.118117,17.325211,16.306672,17.037078,16.943328,17.391152,17.30323,17.947824,17.193328,17.02198,17.24073,
415.8419,17.25,17.3216,16.269187,17.104825,17.0716,17.331687,17.210638,17.639039,17.261075,16.979825,17.158226,
416.1234,17.217298,17.449852,16.375,17.073401,17.069046,17.459301,17.106102,17.329946,17.262352,16.893898,17.096653,
416.4050,17.085996,17.554668,16.480381,17.000078,16.976504,17.523418,17.234336,17.257754,17.402295,16.964717,17.171914,
416.6865,16.931212,17.631288,16.693788,16.781186,17.031186,17.575013,17.337525,17.475102,17.600102,17.318852,17.118775,
416.9681,17.087988,17.447889,16.789935,16.754059,17.083929,17.527191,17.335065,17.305519,17.789935,17.428815,16.969886,
417.2497,17.318576,17.237848,16.815538,16.84375,17.337674,17.4375,17.365886,16.917318,17.759114,17.290364,16.831598,
417.5312,17.160626,17.419687,16.67698,16.873541,17.376459,17.377917,17.46875,16.86448,17.492397,17.127917,16.983646,
417.8128,17.172265,17.311943,16.374332,16.937611,17.218305,17.359542,17.437389,16.734319,17.249777,16.999777,17.109765,
418.0944,17.297711,16.859953,16.35211,17.149821,16.962062,17.439172,17.258101,16.768133,17.220422,17.003344,17.136445,
418.3759,17.278027,16.69717,16.896442,17.398683,16.774804,17.382567,17.22842,17.053813,17.25,17.11421,17.01079,
418.6575,17.376053,17.051364,17.380818,17.666834,16.79078,17.186447,17.402538,17.430076,17.32203,17.210273,17.022773,
418.9390,17.356106,17.531609,17.349808,17.868822,16.975168,16.99988,17.581394,17.487404,17.412548,17.362644,17.081274,
419.2206,17.496142,17.757821,16.9765,17.749965,17.160178,16.996107,17.363215,17.417964,16.910037,17.57425,17.054679,
419.5022,17.340901,17.659493,16.8125,17.575079,17.157872,17.153007,17.228086,17.446836,16.938727,17.615664,17.092128,
419.7837,17.103319,17.320162,16.833545,17.152435,16.830366,17.323976,17.292091,17.595022,17.440679,17.341207,17.188136,
420.0653,17.324017,17.274672,17.257819,16.946957,16.818259,17.200655,17.486845,17.525491,17.637336,17.087991,17.305922,
