,Live Spectrum 10-11-2023 10:22:00 - Spikes removed,Live Spectrum 10-11-2023 10:22:01 - Spikes removed,Live Spectrum 10-11-2023 10:22:03 - Spikes removed,Live Spectrum 10-11-2023 10:22:07 - Spikes removed,Live Spectrum 10-11-2023 10:22:10 - Spikes removed,Live Spectrum 10-11-2023 10:22:12 - Spikes removed,Live Spectrum 10-11-2023 10:22:14 - Spikes removed,Live Spectrum 10-11-2023 10:22:16 - Spikes removed,Live Spectrum 10-11-2023 10:22:18 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
386.2779,16.353296,16.796021,16.80386,17.555567,17.377613,16.9375,16.911476,17.016479,16.453979,
386.5595,16.758871,17.14356,16.753002,17.155566,16.945004,17.398746,16.530566,16.991812,16.498499,
386.8410,17.101567,17.103512,16.6875,16.951171,16.854494,17.220695,16.106439,17,16.580079,
387.1226,17.182011,17.036739,16.893591,16.911739,16.926523,17.073477,15.979727,17.025761,16.851363,
387.4042,17.431422,16.977045,16.774886,16.770738,16.774886,17.225114,16.456593,17.058352,17.095967,
387.6857,17.354999,17.054063,16.693124,16.693124,16.351871,17.079373,17.128444,17.176251,16.954373,
387.9673,17.22468,17.18157,16.747035,16.419591,16.401803,16.794591,17.06843,17.247035,16.461218,
388.2488,17.063291,17.405143,17.185285,16.686076,16.810443,16.905617,16.875949,17.125633,16.4375,
388.5304,16.890007,17.518488,17.422418,16.662051,17.095995,17.296332,16.902844,17.071707,16.991879,
388.8120,16.49348,17.1875,17.036196,16.822392,16.356115,17.680081,17.612635,16.497527,16.778777,
389.0935,16.78503,17.19506,17.09753,16.960181,16.526461,17.533268,17.434729,16.506551,16.776461,
389.3751,16.797255,17.244918,17.125,17.099591,16.739077,17.078505,17.172255,16.766005,16.983995,
389.6566,16.629461,17.199617,17.105867,16.949617,16.862883,16.917089,17.080994,16.681122,17.094389,
389.9382,16.212235,17.163341,17.054255,16.851995,16.929832,16.540072,17.008245,16.671587,17.234087,
390.2198,16.02686,17.317063,17.09814,16.817063,16.816718,16.375,16.946453,16.69189,17.236484,
