,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
385.1517,21.698128,21.327535,20.873819,21.575173,21.579896,20.4375,20.842569,20.842569,21.004724,20.422465,
385.4332,22.091923,21.470866,21.442021,21.587981,21.748173,20.842213,21.094039,21.094039,21.476924,20.613462,
385.7148,21.997787,21.878319,22.20979,21.675221,21.938606,21.573618,21.46427,21.46427,21.977655,20.939713,
385.9963,22.342834,22.672718,22.385909,22.236697,22.305109,22.209881,22.050675,22.050675,22.328406,21.347269,
386.2779,23.071244,23.325564,22.006027,22.704884,22.642384,22.471363,22.507839,22.507839,22.480909,21.80386,
386.5595,23.189001,23.076691,23.019927,23.311683,22.926311,23.468617,22.685999,22.685999,22.753685,22.029749,
386.8410,23.424811,23.279305,23.80372,23.890634,23.146488,23.739256,23.060555,23.060555,23.283214,22.331061,
387.1226,24.118272,24.250886,24.421477,24.437943,23.934579,23.847557,24.228863,24.193786,24.153329,23.444169,
387.4042,24.493922,24.54591,24.666762,24.585455,24.09375,23.847898,25.051713,24.806381,24.529319,24.142144,
387.6857,25.555011,25.444072,24.829689,25.134069,25.436443,24.49782,25.736887,25.736887,24.761565,24.875948,
387.9673,26.102764,25.709856,24.873518,25.217268,25.718001,25.18762,26.171194,26.171194,24.811018,24.938982,
388.2488,27.33758,27.180064,25.807754,26.306963,26.77682,26.151504,27.368988,27.368988,25.807437,25.870254,
388.5304,27.170247,27.702582,26.228106,26.915681,27.133121,25.964259,28.069461,28.069461,26.150599,26.28125,
388.8120,28.420412,28.103642,27.36533,28.761466,27.34375,27.515736,28.227743,28.227743,27.617581,26.338128,
389.0935,29.558209,28.403977,28.570558,28.659775,27.468495,28.217486,28.010332,28.010332,27.655995,27.139865,
389.3751,31.470794,29.887207,30.198423,29.725875,28.486798,29.425058,28.449707,28.449707,28.598072,28.207067,
389.6566,32.412001,30.950906,30.336106,30.737895,29.470679,30.054217,29.58994,29.58994,29.132029,28.84504,
