,Live Spectrum 10-11-2023 10:08:46 - Spikes removed,Live Spectrum 10-11-2023 10:08:50 - Spikes removed,Live Spectrum 10-11-2023 10:08:51 - Spikes removed,Live Spectrum 10-11-2023 10:08:52 - Spikes removed,Live Spectrum 10-11-2023 10:08:54 - Spikes removed,Live Spectrum 10-11-2023 10:08:55 - Spikes removed,Live Spectrum 10-11-2023 10:08:56 - Spikes removed,Live Spectrum 10-11-2023 10:08:57 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
415.5603,27.588977,28.462922,27.350633,28.006883,28.023035,27.77198,28.078652,28.256606,
415.8419,26.978628,28.233776,27.158226,27.693427,27.54924,27.51799,27.908226,27.25889,
416.1234,26.256546,27.861196,27.020349,27.334301,27.051599,26.965847,27.726747,26.861909,
416.4050,25.824443,27.496279,26.836074,27.012022,26.855615,26.679824,27.472783,27.152373,
416.6865,25.400025,26.98736,26.42486,26.343686,26.575013,26.368712,27.168699,26.830983,
416.9681,25.4375,26.621509,26.431738,26.17013,26.141151,26.432306,26.70771,25.798537,
417.2497,25.479818,26.279296,26.507159,26.034288,25.559462,26.382159,26.201606,25.050348,
417.5312,25.501459,25.514276,25.713755,25.89573,25.459689,25.722816,26.069793,25.261978,
417.8128,25.46875,24.781027,25.062277,25.687166,25.108651,25.28125,25.702401,25.312389,
418.0944,25.040765,24.405992,24.374483,25.280992,24.642874,24.77096,25.022632,25.001413,
418.3759,24.414937,24.17671,23.846973,24.862107,24.45796,24.174607,24.43862,24.681054,
418.6575,23.588484,23.876605,23.460825,24.461878,24.355939,23.846409,24.006371,24.336878,
418.9390,22.880938,23.512356,23.043606,24.231226,24.212452,23.837692,23.818798,24.237644,
419.2206,22.8555,23.339822,23.1055,23.574073,23.679572,23.234215,23.277215,24.058536,
419.5022,23.038964,23.200079,22.842523,23.268671,23.375,22.913964,22.876622,23.622151,
419.7837,22.630754,23.135205,22.698341,22.933685,23.206638,22.779343,22.507026,22.795302,
420.0653,21.948595,22.994241,22.696957,22.771793,22.994241,22.622121,22.648854,22.446957,
420.3468,21.434491,22.554382,22.1917,22.398132,22.6896,22.09795,22.736177,22.234673,
420.6284,21.428875,22.40625,21.930175,22.017249,22.360999,21.81315,22.276524,22.0166,
420.9100,21.588796,21.878049,21.570122,21.577363,22.185213,21.181021,21.668826,21.68064,
421.1915,21.476568,21.619795,21.963523,21.295579,22.106773,20.703136,21.53125,21.470057,
421.4731,21.488427,21.568286,21.559014,21.377318,21.839114,21.006954,22.065986,21.768527,
421.7546,21.159608,21.379212,21.542236,21.563354,21.545594,21.643614,21.742372,21.817566,
422.0362,20.986151,21.612748,21.454901,21.432351,21.204102,21.6962,21.441051,21.301404,
422.3178,21.272472,21.297306,21.575556,21.240583,20.990583,20.886778,21.737583,21.135917,
422.5993,21.199229,21.080093,21.112346,20.737346,20.543982,20.441436,21.554707,20.643596,
422.8809,20.810239,21.17858,21.12054,20.62946,20.819221,20.870571,21.212029,20.59375,
423.1625,20.751532,21.068629,21.125,20.416975,20.695161,20.995403,20.801169,20.177701,
423.4440,20.75,21.305788,21.246644,20.436661,20.6875,20.787123,20.872483,20.217072,
423.7256,19.972508,20.877105,20.410309,19.753307,20.469802,20.843449,20.532904,19.907753,
424.0071,20.469284,21.052358,20.241459,19.806628,20.49573,20.523777,20.491993,20.096419,
424.2887,20.489079,20.469963,19.74636,19.469963,20.248787,20.084043,20.014262,20.254854,
424.5703,20.175313,20.467894,19.658139,19.483003,20.203642,19.83053,19.584307,20.378777,
424.8518,19.469289,19.945717,19.690059,19.221309,19.986665,19.619882,19.429822,20.434941,
425.1334,19.154029,19.681049,19.721975,19.259676,20.190725,19.552824,19.337299,20.351418,
425.4149,19.464558,19.659985,19.769436,19.347637,20.234299,19.476524,19.296799,19.851677,
425.6965,19.725031,20.001685,19.706292,19.438623,20.284671,19.503983,19.369894,19.719312,
425.9781,18.817763,20.515724,18.562434,19.776118,19.963487,19.307368,19.15625,19.90625,
426.2596,18.693346,20.2111,18.783054,19.511909,20.058675,19.107463,19.127021,19.841946,
426.5412,18.679811,19.828372,19.198787,19.097841,19.860821,19.089659,18.98702,19.5625,
426.8228,18.452826,19.474214,19.654585,18.760929,19.658982,19.262594,18.866206,19.526853,
427.1043,18.210794,19.250191,19.33656,18.49147,19.500383,18.930692,18.593941,19.390721,
427.3859,18.272855,19.173041,19.03125,18.902518,19.245336,18.403918,18.466418,19.276586,
427.6674,18.268044,19.263859,19.166578,19.089566,19.053478,18.447828,18.375,19.030597,
427.9490,18.331788,19.317137,19.490356,19.059811,19.166265,18.771606,18.191766,18.662834,
428.2306,18.385262,19.1875,19.366134,18.823227,19.427704,18.678169,17.791512,18.1875,
428.5121,18.286627,19.122251,18.917003,18.7595,19.191502,18.400752,17.845125,18.089626,
428.7937,17.936178,18.896646,18.365396,18.638363,18.837347,18.087347,17.975153,17.848831,
429.0752,17.561601,18.561601,18.235853,18.185702,18.609955,18.089634,18.09375,17.713735,
