,Live Spectrum 26-10-2023 13:26:59,Live Spectrum 26-10-2023 13:27:01,Live Spectrum 26-10-2023 13:27:02,Live Spectrum 26-10-2023 13:27:03,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:08,Live Spectrum 26-10-2023 13:27:08,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
386.5595,26.107124,25.683815,26.252868,26.240995,26.147245,27.065235,27.065235,25.919624,25.919624,25.721618,25.721618,25.038621,25.038621,24.655433,24.655433,25.523062,25.523062,25.631554,25.631554,
386.8410,26.668958,26.204116,26.84864,26.779305,26.319335,27.711915,27.711915,25.993165,25.993165,25.853512,25.853512,25.340823,25.340823,25.20997,25.20997,25.653323,25.653323,26.195317,26.195317,
387.1226,28.383942,27.740351,28.354374,27.44175,26.905011,27.692989,27.692989,26.901647,26.901647,26.405011,26.405011,26.173602,26.173602,26.239908,26.239908,26.25425,26.25425,27.02284,27.02284,
387.4042,29.206593,28.519093,29.388015,27.996138,27.519093,27.79591,27.79591,27.798412,27.798412,27.371424,27.371424,26.668979,26.668979,26.898241,26.898241,26.971253,26.971253,27.539831,27.539831,
387.6857,30.58939,30.356895,30.609075,29.22845,29.015641,28.637197,28.637197,29.441892,29.441892,28.836577,28.836577,27.998452,27.998452,28.220014,28.220014,28.655018,28.655018,28.50376,28.50376,
387.9673,31.224799,31.126602,30.688982,30.236778,29.959976,29.582011,29.582011,29.950961,29.950961,29.236659,29.236659,28.660817,28.660817,28.849799,28.849799,29.616226,29.616226,28.891426,28.891426,
388.2488,32.928957,32.773023,32.366457,31.83584,31.865508,31.366141,31.366141,31.367881,31.367881,30.897865,30.897865,30.428641,30.428641,30.460682,30.460682,31.055381,31.055381,30.274289,30.274289,
388.5304,33.443376,33.496519,33.090419,31.699252,32.527844,31.901759,31.901759,32.060255,32.060255,31.681849,31.681849,30.928518,30.928518,31.067291,31.067291,31.206063,31.206063,30.376235,30.376235,
388.8120,34.443344,33.510114,34.652202,33.66704,33.27473,33.423561,33.423561,32.832284,32.832284,33.146358,33.146358,33.952338,33.952338,32.857013,32.857013,31.756743,31.756743,31.283047,31.283047,
389.0935,35.14717,35.021161,35.199338,34.42086,33.740166,33.814007,33.814007,33.243947,33.243947,33.231597,33.231597,34.295106,34.295106,33.579127,33.579127,32.880032,32.880032,32.242938,32.242938,
389.3751,37.277452,37.289894,37.088433,36.43014,35.158294,35.319625,35.319625,34.689544,34.689544,34.814544,34.814544,35.587149,35.587149,35.128563,35.128563,35.416179,35.416179,33.857476,33.857476,
389.6566,38.598235,38.083562,38.614812,37.257668,36.112256,36.31889,36.31889,35.802951,35.802951,35.838662,35.838662,36.219401,36.219401,35.762128,35.762128,36.880751,36.880751,34.721957,34.721957,
389.9382,40.840866,39.980049,40.350265,38.964712,37.396274,37.662188,37.662188,37.762452,37.762452,37.403943,37.403943,37.78488,37.78488,37.143967,37.143967,37.984663,37.984663,36.792549,36.792549,
390.2198,41.966086,41.332132,40.786331,40.135334,38.179755,38.308973,38.308973,38.719958,38.719958,38.443789,38.443789,38.952224,38.952224,38.376381,38.376381,38.385161,38.385161,38.001381,38.001381,
390.5013,43.716542,43.101222,41.425611,41.641601,39.63884,39.391601,39.391601,39.894361,39.894361,40.462125,40.462125,40.30974,40.30974,39.768257,39.768257,39.725118,39.725118,39.321628,39.321628,
390.7829,44.739687,43.978306,42.433726,42.573754,41.081865,40.714976,40.714976,41.362736,41.362736,41.863115,41.863115,40.947182,40.947182,41.201645,41.201645,40.578722,40.578722,40.389271,40.389271,
391.0645,46.024175,45.136198,44.347671,43.880295,42.953993,42.884418,42.884418,43.670399,43.670399,43.007075,43.007075,42.215393,42.215393,43.20735,43.20735,41.543822,41.543822,42.300897,42.300897,
391.3460,46.207392,46.254863,45.522571,44.937005,44.287104,44.358632,44.358632,44.202382,44.202382,43.778425,43.778425,44.008038,44.008038,44.067363,44.067363,43.077731,43.077731,43.286609,43.286609,
391.6276,47.387115,47.432881,46.308541,46.015414,45.266074,45.440918,45.440918,44.917586,44.917586,45.053922,45.053922,45.044566,45.044566,45.566578,45.566578,44.835172,44.835172,44.227447,44.227447,
391.9091,49.553522,48.814537,47.840304,47.740974,47.174834,47.388101,47.388101,46.746602,46.746602,46.445021,46.445021,46.744758,46.744758,47.349475,47.349475,46.689585,46.689585,45.720787,45.720787,
392.1907,50.940944,50.395344,49.45829,49.341071,49.410904,48.575957,48.575957,48.4544,48.4544,47.454847,47.454847,48.512117,48.512117,48.722194,48.722194,48.431377,48.431377,46.981314,46.981314,
392.4723,53.61167,52.030693,51.20882,50.66762,50.769322,50.047172,50.047172,49.646032,49.646032,49.332686,49.332686,49.694895,49.694895,50.212796,50.212796,49.980409,49.980409,48.545751,48.545751,
392.7538,55.126691,52.934118,52.895249,52.372433,51.488164,51.162158,51.162158,50.929881,50.929881,51.340348,51.340348,50.787993,50.787993,51.517723,51.517723,51.236473,51.236473,50.552334,50.552334,
393.0354,55.566744,54.246984,54.215488,54.514731,52.772236,52.475484,52.475484,51.883242,51.883242,52.650989,52.650989,52.352483,52.352483,52.297243,52.297243,52.187991,52.187991,50.726256,50.726256,
393.3169,57.281052,54.789776,54.78407,55.096603,53.999901,53.66753,53.66753,53.224291,53.224291,53.962945,53.962945,53.710125,53.710125,53.531118,53.531118,53.272625,53.272625,52.212847,52.212847,
393.5985,58.322618,56.289684,56.304298,56.810368,55.26293,56.013269,56.013269,55.612302,55.612302,56.180085,56.180085,54.885906,54.885906,54.456948,54.456948,54.400519,54.400519,54.400071,54.400071,
393.8801,60.20459,57.479556,57.303456,58.048149,56.946141,56.153108,56.153108,56.696735,56.696735,57.253142,57.253142,54.451851,54.451851,54.423743,54.423743,54.631093,54.631093,55.83097,55.83097,
