,Live Spectrum 26-10-2023 13:32:31,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
371.0736,16.80161,17.039962,16.986932,17.21875,17.21875,16.241288,16.241288,16.946212,16.946212,16.946212,16.955682,16.955682,16.20786,16.20786,16.20786,16.642424,16.642424,16.642424,16.908428,16.908428,16.95786,16.95786,16.95786,16.497822,16.497822,17.14536,17.14536,17.14536,16.882291,
371.3552,16.663964,17.102252,16.8125,17.21875,17.21875,16.167427,16.167427,17.004645,17.004645,17.004645,16.765822,16.765822,16.158925,16.158925,16.158925,16.844144,16.844144,16.844144,16.910501,16.910501,16.754645,16.754645,16.754645,16.476464,16.476464,17.030856,17.030856,17.030856,16.577928,
371.6367,16.729809,16.796166,16.845678,17.163453,17.163453,16.413453,16.413453,16.626928,16.626928,16.626928,16.733666,16.733666,16.827161,16.827161,16.827161,16.586292,16.586292,16.586292,16.735339,16.735339,16.376928,16.376928,16.376928,16.564428,16.564428,17.183643,17.183643,17.183643,16.6875,
371.9183,16.752465,17.141857,17.007196,16.870269,16.870269,16.170643,16.170643,16.824428,16.824428,16.824428,17.03618,17.03618,16.685234,16.685234,16.685234,16.413446,16.413446,16.413446,16.798107,16.798107,16.596016,16.596016,16.596016,16.697161,16.697161,16.767056,16.767056,16.767056,16.723481,
372.1998,16.60311,16.987471,17.022393,16.714574,16.714574,16.236463,16.236463,17.066173,17.066173,17.066173,16.693188,16.693188,16.459893,16.459893,16.459893,16.481783,16.481783,16.481783,16.77657,16.77657,16.821357,16.821357,16.821357,16.616143,16.616143,16.397393,16.397393,16.397393,16.923459,
372.4814,16.437218,16.59262,17.031532,16.635511,16.635511,16.249718,16.249718,17.344032,17.344032,17.344032,16.3125,16.3125,16.479543,16.479543,16.479543,16.688347,16.688347,16.688347,16.822728,16.822728,16.822728,16.822728,16.822728,16.59375,16.59375,16.51164,16.51164,16.51164,17.061935,
372.7630,16.387159,16.416703,17.142385,16.753521,16.753521,16.090229,16.090229,17.40625,17.40625,17.40625,16.361135,16.361135,16.550341,16.550341,16.550341,16.911476,16.911476,16.911476,16.756932,16.756932,16.829885,16.829885,16.829885,16.605909,16.605909,16.890679,16.890679,16.890679,16.828071,
373.0445,16.585659,16.420844,16.997939,17.016656,17.016656,16.103108,16.103108,17.144037,17.144037,17.144037,16.465101,16.465101,16.517449,16.517449,16.517449,16.941149,16.941149,16.941149,16.553142,16.553142,16.892449,16.892449,16.892449,16.694003,16.694003,16.965895,16.965895,16.965895,16.670051,
373.3261,16.966864,16.096013,16.379149,17.125377,17.125377,16.713847,16.713847,16.689009,16.689009,16.689009,16.484564,16.484564,16.453691,16.453691,16.453691,16.875377,16.875377,16.875377,16.251131,16.251131,16.875,16.875,16.875,16.842996,16.842996,16.751131,16.751131,16.751131,16.90361,
373.6076,17.056736,16.247571,16.218976,17.042552,17.042552,17.022604,17.022604,16.937953,16.937953,16.937953,16.758872,16.758872,16.372118,16.372118,16.372118,16.775486,16.775486,16.775486,16.275712,16.275712,16.943264,16.943264,16.943264,16.411335,16.411335,16.809844,16.809844,16.809844,16.851944,
373.8892,17.01869,16.568629,16.169415,16.925242,16.925242,16.619778,16.619778,17.156552,17.156552,17.156552,17.01869,17.01869,16.268992,16.268992,16.268992,16.73744,16.73744,16.73744,16.318931,16.318931,17.093448,17.093448,17.093448,16.056069,16.056069,16.844052,16.844052,16.844052,16.568931,
374.1708,16.990636,16.634364,16.274933,16.935921,16.935921,16.365636,16.365636,17.09375,17.09375,17.09375,17.051557,17.051557,16.259364,16.259364,16.259364,16.729693,16.729693,16.729693,16.159409,16.159409,17.075022,17.075022,17.075022,16.276512,16.276512,16.801557,16.801557,16.801557,16.409409,
374.4523,16.946832,16.590496,16.976122,16.749568,16.749568,16.69444,16.69444,16.984159,16.984159,16.984159,17.040582,17.040582,16.347004,16.347004,16.347004,16.784504,16.784504,16.784504,16.137586,16.137586,16.943577,16.943577,16.943577,16.550345,16.550345,16.856336,16.856336,16.856336,16.34375,
374.7339,16.984547,16.609547,17.21875,16.421017,16.421017,16.98489,16.98489,16.79636,16.79636,16.79636,16.96068,16.96068,16.65728,16.65728,16.65728,16.647837,16.647837,16.647837,16.203297,16.203297,16.859203,16.859203,16.859203,16.860233,16.860233,17.08671,17.08671,17.08671,16.41432,
