,Live Spectrum 26-10-2023 13:44:50,Live Spectrum 26-10-2023 13:45:29,Live Spectrum 26-10-2023 13:45:59,Live Spectrum 26-10-2023 13:46:43,Live Spectrum 26-10-2023 13:47:13,Live Spectrum 26-10-2023 13:48:13,Live Spectrum 26-10-2023 13:49:37,Live Spectrum 26-10-2023 13:50:32,Live Spectrum 26-10-2023 13:51:07,Live Spectrum 26-10-2023 13:51:27,Live Spectrum 26-10-2023 13:52:16,Live Spectrum 26-10-2023 13:52:46,Live Spectrum 26-10-2023 13:52:55,Live Spectrum 26-10-2023 13:52:56,Live Spectrum 26-10-2023 13:52:57,Live Spectrum 26-10-2023 13:52:58,Live Spectrum 26-10-2023 13:52:59,Live Spectrum 26-10-2023 13:54:50,Live Spectrum 26-10-2023 13:55:15,Live Spectrum 26-10-2023 13:55:21,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
378.6758,17.90625,17.46875,16.706628,17.011079,16.37803,28.651232,16.810512,17.14214,17.229829,16.84678,17.008049,17.46572,17.134091,17.168372,17.118939,16.603787,17.067518,16.772159,17.196591,17.501043,
378.9573,17.843752,17.546873,16.953122,17.0625,16.546869,28.234383,16.671875,17.078126,17.343748,16.8125,17.140624,17.5,17.265618,17.03125,17.171875,16.921873,17.203125,16.999996,16.953129,17.406247,
379.2389,18.038251,17.744934,17.148167,17.0625,16.904201,27.509164,16.756034,17.099784,17.337716,16.743966,17.221767,17.397199,17.791268,16.928449,17.121983,16.811532,17.21875,17.125,16.8125,17.705601,
379.5204,18.622728,17.974205,17.162841,16.820227,17.087159,27.15625,16.719318,17.212159,17.299886,16.706136,17.045,17.126136,18.124432,17.011477,16.907386,16.749432,17.106932,17.069091,16.868409,17.725909,
379.8020,19.398469,18.143034,17.044466,16.65625,17.044466,27.357584,16.857584,17.3104,17.3125,16.759017,16.805583,16.838933,17.945899,17.225667,16.640316,16.993701,16.910449,17.09165,16.886117,17.121664,
380.0836,19.319882,18.46862,17.043249,16.504878,17,26.94976,16.709255,17.127504,16.966507,16.975871,16.685126,17.420362,17.57463,16.956881,17.08149,17.007252,17.038371,17.427744,16.615505,17.211368,
380.3651,19.433568,18.52442,16.877621,16.41439,17.115549,26.533871,16.824849,16.892591,16.904939,17.03939,16.910458,17.71875,17.630519,16.650731,17.28939,16.92253,16.870792,17.377621,16.731099,17.582989,
380.6467,19.875499,18.622946,16.664965,16.381661,17.15625,26.198268,17.373446,16.991285,16.839143,16.932893,17.270482,17.325322,18.031749,16.397036,17.035358,16.980018,16.510768,17.066608,17.009214,17.828375,
380.9282,19.812373,18.65625,16.729251,16.609565,17.025936,26.098937,17.552126,17.265815,16.8125,17.062627,17.213436,16.905997,18.255314,16.656503,16.734185,17.052126,16.515688,16.765435,17.010374,17.927126,
381.2098,19.946433,18.959085,16.667409,16.986615,16.559513,25.515611,16.956831,16.459057,16.950152,17.313993,17.022317,16.81622,17.703111,16.69122,16.742561,17.117561,16.806554,16.526037,16.697165,17.497013,
