,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
375.2970,18.379535,18.700612,18.491914,18.076104,18.755026,18.964215,18.432474,18.119974,18.267155,18.888604,18.557965,18.611888,17.647673,18.820094,18.526715,18.526715,18.526715,18.165811,18.165811,17.942526,17.942526,17.942526,18.789827,18.789827,
375.5786,18.431605,18.83196,18.21108,18.147407,18.888565,18.600818,18.666867,18.467577,18.284198,18.790093,18.534198,18.225818,17.823117,19.302484,18.64446,18.64446,18.64446,18.266512,18.266512,17.396806,17.396806,17.396806,18.387963,18.387963,
375.8601,18.228316,18.903517,18.127733,18.813684,18.8166,18.263666,18.41855,18.918367,18.1916,18.482416,18.023232,18.755284,17.455266,18.447248,18.9252,18.9252,18.9252,18.072066,18.072066,17.792001,17.792001,17.792001,17.865616,17.865616,
376.1417,18.280417,18.310209,18.313125,18.748334,18.561251,18.626249,18.625,19.029792,18.280625,18.345832,18.032916,18.720208,17.563749,18.406666,18.686667,18.686667,18.686667,18.281875,18.281875,18.313958,18.313958,18.313958,17.783332,17.783332,
376.4233,18.159804,17.981188,18.408027,18.487562,18.38033,18.80717,18.610785,18.785848,18.189277,18.663357,18.28125,18.941054,17.758884,18.477634,18.566054,18.566054,18.566054,18.366116,18.366116,18.53125,18.53125,18.53125,18.13284,18.13284,
376.7048,18.171998,18.190839,18.400767,18.261214,18.498805,18.601871,18.354964,18.323714,18.215411,18.764553,18.237838,18.966606,17.929626,18.614982,18.604964,18.604964,18.604964,18.198714,18.198714,18.481159,18.481159,18.481159,18.764553,18.764553,
376.9864,17.766562,18.16979,18.054582,18.088854,18.769584,17.585832,18.231564,18.166042,18.133644,18.605416,17.796665,18.653228,18.090728,18.452915,18.417916,18.417916,18.417916,17.938227,17.938227,17.979269,17.979269,17.979269,18.551561,18.551561,
377.2679,17.635928,17.861124,17.759945,18.056053,18.823428,17.329874,18.352713,18.089819,17.805071,18.409749,17.407233,18.397838,17.796659,17.895873,18.215802,18.215802,18.215802,17.321463,17.321463,17.486124,17.486124,17.486124,18.027319,18.027319,
377.5495,17.4375,17.719464,17.397544,18.023259,18.593036,17.188214,17.810357,17.433928,17.58433,18.006562,17.579197,18.085044,17.319062,17.263125,17.77183,17.77183,17.77183,16.875,16.875,17.3125,17.3125,17.3125,17.483303,17.483303,
377.8311,17.361262,17.669554,17.519493,18.019059,18.318936,17.033478,17.655136,16.96875,17.279703,17.85328,17.604393,18.28323,17.070483,17.185272,17.457673,17.457673,17.457673,16.979827,16.979827,17.607921,17.607921,17.607921,17.496225,17.496225,
