,Live Spectrum 26-10-2023 13:27:57,Live Spectrum 26-10-2023 13:27:59,Live Spectrum 26-10-2023 13:28:02,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:03,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:04,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:05,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:06,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,Live Spectrum 26-10-2023 13:28:07,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
375.0155,17.400122,17.244485,16.927082,17.331495,17.331495,17.46201,17.46201,17.46201,16.787378,16.787378,16.818628,16.818628,16.818628,16.43076,16.43076,16.43076,16.813112,16.813112,16.813112,17.268995,17.268995,17.268995,17.34375,17.34375,17.143995,
375.2970,17.219242,17.040811,17.405267,17.477327,17.477327,17.250492,17.250492,17.250492,17.048405,17.048405,17.052939,17.052939,17.052939,17.047421,17.047421,17.047421,16.977327,16.977327,16.977327,17.414827,17.414827,17.414827,17.370465,17.370465,17.022673,
375.5786,17.244105,16.830185,17.497052,17.528302,17.528302,17.360262,17.360262,17.360262,17.263565,17.263565,17.150355,17.150355,17.150355,17.552484,17.552484,17.552484,17.254722,17.254722,17.254722,17.32429,17.32429,17.32429,17.544815,17.544815,16.915093,
375.8601,17.698251,17.380284,17.290816,17.919734,17.919734,17.614067,17.614067,17.614067,17.161716,17.161716,17.2459,17.2459,17.2459,17.59375,17.59375,17.59375,17.072066,17.072066,17.072066,17.4918,17.4918,17.4918,16.397048,16.397048,16.6373,
376.1417,17.811667,17.373126,17.471249,17.622085,17.622085,17.782083,17.782083,17.782083,17.564791,17.564791,17.124584,17.124584,17.124584,17.53125,17.53125,17.53125,17.000625,17.000625,17.000625,17.467709,17.467709,17.467709,16.663122,16.663122,16.846249,
376.4233,17.667955,17.083089,17.840196,17.199938,17.199938,17.886705,17.886705,17.886705,17.913357,17.913357,17.0625,17.0625,17.0625,17.53125,17.53125,17.53125,17.111518,17.111518,17.111518,17.30717,17.30717,17.30717,17.708822,17.708822,17.232965,
376.7048,17.310356,16.912929,17.794608,17.419608,17.419608,17.579197,17.579197,17.579197,18.03125,18.03125,17.0625,17.0625,17.0625,17.544608,17.544608,17.544608,17.436305,17.436305,17.436305,17.215411,17.215411,17.215411,18.049142,18.049142,17.488786,
376.9864,17.045938,17.022606,17.920938,17.545938,17.545938,17.787293,17.787293,17.787293,17.996978,17.996978,17.096772,17.096772,17.096772,17.685626,17.685626,17.685626,17.707084,17.707084,17.707084,17.192396,17.192396,17.192396,17.873853,17.873853,17.641562,
377.2679,17.163679,17.318947,18.096698,17.625,17.625,18.059552,18.059552,18.059552,17.844733,17.844733,17.352162,17.352162,17.352162,17.86309,17.86309,17.86309,17.767374,17.767374,17.767374,17.231643,17.231643,17.231643,17.55059,17.55059,17.530267,
377.5495,17.424375,17.263839,18.508706,17.664956,17.664956,17.607589,17.607589,17.607589,17.984732,17.984732,17.680938,17.680938,17.680938,17.953482,17.953482,17.953482,17.489866,17.489866,17.489866,17.305223,17.305223,17.305223,17.808795,17.808795,17.358303,
377.8311,17.883416,17.250433,18.386757,17.943255,17.943255,17.670421,17.670421,17.670421,17.850186,17.850186,17.681745,17.681745,17.681745,18.285891,18.285891,18.285891,17.301857,17.301857,17.301857,17.432178,17.432178,17.432178,18.277042,18.277042,17.352166,
378.1126,18.364498,17.705751,17.799501,18.367812,18.367812,18.387999,18.387999,18.387999,17.426438,17.426438,17.522685,17.522685,17.522685,18.694128,18.694128,18.694128,17.650999,17.650999,17.650999,17.496126,17.496126,17.496126,18.235623,18.235623,17.634125,
378.3942,18.611966,17.637589,17.819462,18.355449,18.355449,18.506517,18.506517,18.506517,17.544729,17.544729,18.095085,18.095085,18.095085,18.111521,18.111521,18.111521,18.026513,18.026513,18.026513,17.475712,17.475712,17.475712,18.575979,18.575979,17.581161,
378.6758,18.302463,17.783238,18.194506,18.21572,18.21572,18.5625,18.5625,18.5625,18.003976,18.003976,18.38911,18.38911,18.38911,18.132006,18.132006,18.132006,18.456628,18.456628,18.456628,17.751988,17.751988,17.751988,18.823579,18.823579,17.717707,
378.9573,18.000002,17.9375,18.453125,18.187502,18.187502,18.5625,18.5625,18.5625,18.359374,18.359374,18.187506,18.187506,18.187506,18.593745,18.593745,18.593745,18.656248,18.656248,18.656248,18.124994,18.124994,18.124994,18.781253,18.781253,18.093745,
379.2389,18.177368,17.834699,18.317566,18.159267,18.159267,18.750968,18.750968,18.750968,18.40625,18.40625,17.831683,17.831683,17.831683,18.764117,18.764117,18.764117,18.66735,18.66735,18.66735,18.515084,18.515084,18.515084,18.704633,18.704633,18.452584,
379.5204,18.598637,17.731364,18.554205,18.541591,18.541591,18.90625,18.90625,18.90625,18.61125,18.61125,17.961023,17.961023,17.961023,18.619545,18.619545,18.619545,18.718182,18.718182,18.718182,18.730796,18.730796,18.730796,18.793296,18.793296,18.556477,
379.8020,18.729867,17.77915,19.123518,18.942317,18.942317,19.067317,19.067317,19.067317,19.072135,19.072135,18.346468,18.346468,18.346468,18.551383,18.551383,18.551383,18.902051,18.902051,18.902051,18.78125,18.78125,18.78125,18.944417,18.944417,18.47085,
380.0836,18.697125,18.309866,19.658493,19.485366,19.485366,18.767007,18.767007,18.767007,18.947256,18.947256,18.74987,18.74987,18.74987,19.167988,19.167988,19.167988,19.401242,19.401242,19.401242,18.932622,18.932622,18.932622,19.172997,19.172997,19.172736,
380.3651,18.826159,18.808568,19.627621,19.571951,19.571951,18.709299,18.709299,18.709299,19.066708,19.066708,18.92122,18.92122,18.92122,19.529939,19.529939,19.529939,19.52442,19.52442,19.52442,19.231099,19.231099,19.231099,19.27311,19.27311,19.5,
380.6467,19.219249,19.176732,19.685446,19.285358,19.285358,19.020482,19.020482,19.020482,19.525089,19.525089,19.134214,19.134214,19.134214,19.931339,19.931339,19.931339,19.524589,19.524589,19.524589,19.435446,19.435446,19.435446,19.625499,19.625499,19.549178,
380.9282,19.260374,19.25,20.135754,19.270876,19.270876,19.250127,19.250127,19.250127,19.885628,19.885628,19.65663,19.65663,19.65663,19.926999,19.926999,19.926999,19.609438,19.609438,19.609438,19.286311,19.286311,19.286311,19.953315,19.953315,19.327935,
381.2098,19.635426,19.607896,20.714298,19.666676,19.666676,19.721737,19.721737,19.721737,20.185274,20.185274,20.245548,20.245548,20.245548,19.823659,19.823659,19.823659,19.845243,19.845243,19.845243,19.470243,19.470243,19.470243,20.275304,20.275304,19.859389,
381.4914,19.803469,20.033149,20.607297,19.834719,19.834719,20.013188,20.013188,20.013188,20.21875,20.21875,20.428469,20.428469,20.428469,19.754516,19.754516,19.754516,20.222907,20.222907,20.222907,19.992868,19.992868,19.992868,20.196531,20.196531,20.575329,
381.7729,20.269223,20.549671,20.806888,20.391818,20.391818,20.487973,20.487973,20.487973,19.914268,19.914268,20.559293,20.559293,20.559293,20.480757,20.480757,20.480757,20.706723,20.706723,20.706723,20.213939,20.213939,20.213939,20.826913,20.826913,20.838138,
382.0545,20.375648,20.211619,21.267637,20.512965,20.512965,20.72977,20.72977,20.72977,19.745977,19.745977,20.695927,20.695927,20.695927,20.909491,20.909491,20.909491,20.923105,20.923105,20.923105,19.986253,19.986253,19.986253,21.568983,21.568983,20.504538,
382.3360,20.416712,19.91057,20.635462,21.145923,21.145923,21.293939,21.293939,21.293939,21.079374,21.079374,21.087473,21.087473,21.087473,21.09807,21.09807,21.09807,21.725027,21.725027,21.725027,20.814592,20.814592,20.814592,21.893831,21.893831,20.798259,
382.6176,20.622521,20.430964,20.834209,21.441031,21.441031,21.976862,21.976862,21.976862,21.785306,21.785306,21.031776,21.031776,21.031776,21.572566,21.572566,21.572566,21.823092,21.823092,21.823092,20.942607,20.942607,20.942607,22.09976,22.09976,21.990985,
382.8992,21.153307,20.724262,21.319483,21.498529,21.498529,22.556066,22.556066,22.556066,22.032721,22.032721,21.335844,21.335844,21.335844,21.421139,21.421139,21.421139,21.980697,21.980697,21.980697,21.753492,21.753492,21.753492,21.611582,21.611582,22.59173,
383.1807,21.602936,21.56949,21.808906,21.739317,21.739317,22.840855,22.840855,22.840855,21.926118,21.926118,21.695288,21.695288,21.695288,21.710863,21.710863,21.710863,22.521965,22.521965,22.521965,22.122804,22.122804,22.122804,21.681711,21.681711,22.288339,
383.4623,22.195296,22.781257,22.374979,22.226525,22.226525,23.6562,23.6562,23.6562,22.257782,22.257782,22.117154,22.117154,22.117154,22.617168,22.617168,22.617168,23.179668,23.179668,23.179668,22.9531,22.9531,22.9531,22.945296,22.945296,22.664011,
383.7439,22.692252,22.825888,22.849993,22.958623,22.958623,24.478566,24.478566,24.478566,22.914574,22.914574,22.839276,22.839276,22.839276,23.050292,23.050292,23.050292,23.511307,23.511307,23.511307,23.530349,23.530349,23.530349,23.294638,23.294638,23.546719,
384.0254,23.449447,23.624202,23.365676,23.446168,23.446168,24.885635,24.885635,24.885635,23.467438,23.467438,23.648894,23.648894,23.648894,23.87289,23.87289,23.87289,23.719406,23.719406,23.719406,24.156906,24.156906,24.156906,24.018505,24.018505,23.924897,
384.3070,23.978995,24.711834,23.661373,23.94339,23.94339,24.954406,24.954406,24.954406,23.801229,23.801229,24.226434,24.226434,24.226434,24.535861,24.535861,24.535861,24.022028,24.022028,24.022028,23.953894,23.953894,23.953894,24.805328,24.805328,23.766906,
384.5885,24.741555,25.29561,24.143429,25.214989,25.214989,25.017813,25.017813,25.017813,24.611871,24.611871,24.606879,24.606879,24.606879,24.625923,24.625923,24.625923,24.500308,24.500308,24.500308,24.028412,24.028412,24.028412,24.910934,24.910934,24.246855,
384.8701,25.397199,26.102712,25.012647,26.033844,26.033844,25.489357,25.489357,25.489357,25.4602,25.4602,25.107989,25.107989,25.107989,25.74145,25.74145,25.74145,25.055041,25.055041,25.055041,25.147199,25.147199,25.147199,25.459699,25.459699,25.700648,
385.1517,25.987327,26.319268,26.043059,26.673646,26.673646,26.436636,26.436636,26.436636,26.573128,26.573128,26.186636,26.186636,26.186636,26.724655,26.724655,26.724655,25.53125,25.53125,25.53125,25.818405,25.818405,25.818405,26.276844,26.276844,26.848474,
