,Live Spectrum 26-10-2023 13:33:34,Live Spectrum 26-10-2023 13:33:35,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:44,Live Spectrum 26-10-2023 13:33:44,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
370.2289,16.723931,17.337957,16.733233,16.733233,16.766767,16.766767,17.144664,17.144664,17.144664,17.016767,17.016767,17.016767,17.201371,17.201371,17.201371,16.693293,16.693293,16.693293,16.965853,16.755793,16.755793,16.605336,16.605336,16.509302,16.509302,16.509302,16.979724,16.979724,16.9375,16.9375,16.9375,16.769664,16.769664,17.02256,17.02256,17.02256,16.653353,
370.5105,16.689897,16.983134,16.598545,16.598545,16.751199,16.751199,17.036045,17.036045,17.036045,17.091353,17.091353,17.091353,16.587672,16.587672,16.587672,16.747603,16.747603,16.747603,16.578083,17.050513,17.050513,16.563699,16.563699,16.378596,16.378596,16.378596,17.240411,17.240411,17.207962,17.207962,17.207962,16.751199,16.751199,16.971147,16.971147,16.971147,16.986815,
370.7920,16.750986,16.718257,16.660193,16.660193,16.467764,16.467764,16.840793,16.840793,16.840793,17.120564,17.120564,17.120564,16.339314,16.339314,16.339314,16.873028,16.873028,16.873028,16.438979,17.346707,17.346707,16.5278,16.5278,16.4722,16.4722,16.4722,17.247535,17.247535,17.058557,17.058557,17.058557,16.650335,16.650335,17.000493,17.000493,17.000493,16.749507,
371.0736,16.816856,16.696212,16.910606,16.910606,16.40625,16.40625,16.658428,16.658428,16.658428,16.837216,16.837216,16.837216,16.05161,16.05161,16.05161,16.728219,16.728219,16.728219,16.546496,17.535606,17.535606,16.310322,16.310322,16.713637,16.713637,16.713637,17.100284,17.100284,16.805966,16.805966,16.805966,16.268182,16.268182,17.02036,17.02036,17.02036,16.710038,
371.3552,16.824859,16.866498,16.945608,16.945608,16.410107,16.410107,16.621931,16.621931,16.621931,16.773142,16.773142,16.773142,15.917821,15.917821,15.917821,16.510783,16.510783,16.510783,16.75,17.458755,17.458755,16.350676,16.350676,17.020073,17.020073,17.020073,17.141216,17.141216,16.741892,16.741892,16.741892,16.105321,16.105321,16.91357,16.91357,16.91357,16.640034,
371.6367,16.496399,17.189173,16.77572,16.77572,16.459619,16.459619,16.228136,16.228136,16.228136,16.926441,16.926441,16.926441,15.977881,15.977881,15.977881,17.058899,17.058899,17.058899,16.75553,16.50553,16.50553,16.84375,16.84375,16.71875,16.71875,16.71875,16.81803,16.81803,16.91178,16.91178,16.91178,16.1875,16.1875,17.115614,17.115614,17.115614,16.985339,
371.9183,16.553037,16.84868,16.69243,16.69243,16.540911,16.540911,16.598481,16.598481,16.598481,16.846215,16.846215,16.846215,15.889393,15.889393,15.889393,17.173107,17.173107,17.173107,16.795643,16.596016,16.596016,16.764591,16.764591,16.761928,16.761928,16.761928,16.915713,16.915713,16.9375,16.9375,16.9375,16.252266,16.252266,16.766857,16.766857,16.766857,17.012126,
372.1998,16.33907,16.549971,16.491143,16.491143,16.371327,16.371327,16.727607,16.727607,16.727607,16.75,16.75,16.75,16.008353,16.008353,16.008353,17.054147,17.054147,17.054147,16.84375,16.918779,16.918779,16.579709,16.579709,16.870824,16.870824,16.870824,17.200533,17.200533,16.946357,16.946357,16.946357,16.583886,16.583886,16.842743,16.842743,16.842743,16.81718,
372.4814,16.479826,16.291761,16.447728,16.447728,16.146022,16.146022,16.539784,16.539784,16.539784,16.739489,16.739489,16.739489,16.345162,16.345162,16.345162,16.822446,16.822446,16.822446,16.833239,17.1875,17.1875,16.802272,16.802272,16.718185,16.718185,16.718185,17.259946,17.259946,16.884664,16.884664,16.884664,16.801424,16.801424,17.177272,17.177272,17.177272,16.665914,
372.7630,16.576365,16.324659,16.503521,16.503521,16.248294,16.248294,16.112841,16.112841,16.112841,16.670115,16.670115,16.670115,16.631932,16.631932,16.631932,16.694432,16.694432,16.694432,16.776024,17.005118,17.005118,16.953179,16.953179,16.618068,16.618068,16.618068,17.071138,17.071138,16.645797,16.645797,16.645797,16.522503,16.522503,17.133638,17.133638,17.133638,16.512159,
373.0445,16.430997,16.371351,16.86326,16.86326,16.481757,16.481757,16.066149,16.066149,16.066149,16.566149,16.566149,16.566149,16.483344,16.483344,16.483344,16.739054,16.739054,16.739054,16.746351,16.635946,16.635946,17.028395,17.028395,16.628649,16.628649,16.628649,16.827094,16.827094,16.517449,16.517449,16.517449,16.395304,16.395304,16.903395,16.903395,16.903395,16.572652,
373.3261,16.235695,16.421686,17.202182,17.202182,16.702559,16.702559,16.077559,16.077559,16.077559,16.608432,16.608432,16.608432,16.158513,16.158513,16.158513,16.920932,16.920932,16.920932,16.765814,16.716487,16.716487,16.890814,16.890814,16.763551,16.763551,16.763551,16.594881,16.594881,16.469127,16.469127,16.469127,16.654364,16.654364,16.796686,16.796686,16.796686,16.563254,
373.6076,16.244462,16.60816,17.417778,17.417778,16.818264,16.818264,16.227396,16.227396,16.227396,16.175519,16.175519,16.175519,16.463665,16.463665,16.463665,16.658679,16.658679,16.658679,16.698802,16.616128,16.616128,16.61901,16.61901,16.76684,16.76684,16.76684,16.090415,16.090415,16.574028,16.574028,16.574028,16.55651,16.55651,16.914896,16.914896,16.914896,16.295208,
373.8892,16.437198,16.75,17.250907,17.250907,16.762863,16.762863,16.3125,16.3125,16.3125,15.936895,15.936895,15.936895,16.931069,16.931069,16.931069,16.543206,16.543206,16.543206,16.787077,16.225484,16.225484,16.275423,16.275423,16.475484,16.475484,16.475484,15.806069,15.806069,16.799637,16.799637,16.799637,16.381129,16.381129,16.869173,16.869173,16.869173,16.087621,
374.1708,16.703069,16.668772,16.778204,16.778204,16.585966,16.585966,16.271886,16.271886,16.271886,16.184341,16.184341,16.184341,16.867216,16.867216,16.867216,16.798398,16.798398,16.798398,16.875,16.490524,16.490524,16.106272,16.106272,16.354693,16.354693,16.354693,15.904671,15.904671,16.935921,16.935921,16.935921,16.345329,16.345329,16.78125,16.78125,16.78125,16.103114,
374.4523,17.031682,16.625,16.646918,16.646918,16.487414,16.487414,16.228082,16.228082,16.228082,16.184246,16.184246,16.184246,16.900173,16.900173,16.900173,16.831164,16.831164,16.831164,16.787327,16.9286,16.9286,16.106336,16.106336,16.387586,16.387586,16.387586,16.112845,16.112845,16.837241,16.837241,16.837241,16.400173,16.400173,16.693577,16.693577,16.693577,16.278427,
374.7339,17.172047,16.69557,16.915007,16.915007,16.421703,16.421703,16.453983,16.453983,16.453983,16.344437,16.344437,16.344437,17.07864,17.07864,17.07864,16.67136,16.67136,16.67136,16.797047,17.078297,17.078297,16.40728,16.40728,16.54739,16.54739,16.54739,16.61092,16.61092,16.71068,16.71068,16.71068,16.672733,16.672733,16.86796,16.86796,16.86796,16.55546,
375.0155,17.162378,16.693628,17.301469,17.301469,16.356005,16.356005,16.581495,16.581495,16.581495,16.381128,16.381128,16.381128,17.074755,17.074755,17.074755,16.549633,16.549633,16.549633,16.938112,16.792281,16.792281,16.575367,16.575367,16.69424,16.69424,16.69424,16.724878,16.724878,16.762867,16.762867,16.762867,16.825367,16.825367,17.088235,17.088235,17.088235,16.574755,
375.2970,17.022673,16.607354,17.588724,17.588724,16.504043,16.504043,16.59375,16.59375,16.59375,16.829163,16.829163,16.829163,16.982354,16.982354,16.982354,16.504535,16.504535,16.504535,16.96875,16.745465,16.745465,16.647181,16.647181,16.585173,16.585173,16.585173,16.611888,16.611888,16.727819,16.727819,16.727819,16.817035,16.817035,16.911276,16.911276,16.911276,16.402207,
