,Live Spectrum 26-10-2023 13:25:28,Live Spectrum 26-10-2023 13:25:32,Live Spectrum 26-10-2023 13:25:33,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:35,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
386.5595,21.428495,21.569187,21.729939,22.109308,20.653248,22.080376,21.635506,21.950874,21.639191,21.639191,21.348936,21.348936,21.348936,22.121315,22.121315,22.121315,21.756687,21.539571,21.602621,22.139741,
386.8410,21.429683,21.27636,21.192372,21.866201,20.840823,21.860347,21.625982,21.829097,21.426756,21.426756,21.015616,21.015616,21.015616,21.591786,21.591786,21.591786,21.46386,20.87011,21.554683,22.304683,
387.1226,21.117387,20.543466,20.856409,21.595432,20.900761,21.400318,21.610216,21.523637,21.277443,21.277443,20.674398,20.674398,20.674398,21.108091,21.108091,21.108091,21.117387,20.703966,21.216625,21.940864,
387.4042,21.198012,20.243636,21.029319,21.481193,20.770738,21.068578,21.268521,20.845395,20.870566,20.870566,20.706307,20.706307,20.706307,21.004148,21.004148,21.004148,21.089602,20.660398,21.102045,21.739488,
387.6857,20.56468,19.849058,21.204689,21.326561,20.209681,20.832185,20.593118,20.778438,20.329057,20.329057,20.946253,20.946253,20.946253,20.829373,20.829373,20.829373,20.695621,21.054379,21.122188,21.377496,
387.9673,20.351162,20.020873,20.831771,20.865986,19.858574,20.901803,20.352644,21.168229,20.191947,20.191947,21.028285,21.028285,21.028285,20.544591,20.544591,20.544591,20.328806,21.272356,21.095232,21.075841,
388.2488,20.281566,20.155617,20.657041,20.968117,19.905934,20.439873,20.312658,20.84549,20.125316,20.125316,20.471598,20.471598,20.471598,20.033781,20.033781,20.033781,20.063766,21.063607,20.440822,20.689398,
388.5304,20.848316,20.476871,21.061265,21.335629,20.240719,20.298653,20.465269,20.660816,20.324027,20.324027,19.831063,19.831063,19.831063,20.37616,20.37616,20.37616,20.466355,20.621519,19.886527,20.444461,
388.8120,20.141412,20.667716,20.241007,21.10027,19.972798,20.730216,20.367581,19.94402,19.817446,19.817446,20.310027,20.310027,20.310027,20.393885,20.393885,20.393885,19.606115,20.558452,19.365108,20.617581,
389.0935,19.915828,20.411039,20.465979,20.759578,19.641129,20.49244,20.28503,19.633569,19.88256,19.88256,20.27747,20.27747,20.27747,20.223539,20.223539,20.223539,19.791582,20.859879,19.295362,20.512349,
389.3751,19.50076,20.173014,20.178096,20.339428,19.556659,20.488317,20.256601,19.544976,19.922255,19.922255,20.255082,20.255082,20.255082,20.00076,20.00076,20.00076,20.103913,20.689019,19.706308,20.334346,
389.6566,19.279972,19.835455,19.892216,20.060583,19.674744,20.698978,19.91135,19.892855,19.799105,19.799105,20.294006,20.294006,20.294006,19.78635,19.78635,19.78635,20.149872,20.368622,20.214289,20.042089,
389.9382,19.038918,19.383822,19.570745,19.64149,19.586659,20.361971,19.672163,19.665072,19.625,19.625,20.290072,20.290072,20.290072,19.570168,19.570168,19.570168,20.07899,20.366755,20.531827,19.703413,
390.2198,19.107266,19.21875,19.544766,19.419421,19.522469,19.865874,19.660813,19.437327,19.642906,19.642906,20.008608,20.008608,20.008608,19.59375,19.59375,19.59375,19.803202,20.267389,20.365874,19.575671,
