,Live Spectrum 26-10-2023 13:19:37,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:43,,Live Spectrum 26-10-2023 13:20:45,,Live Spectrum 26-10-2023 13:20:46,,Live Spectrum 26-10-2023 13:21:03,,Live Spectrum 26-10-2023 13:21:04,,Live Spectrum 26-10-2023 13:21:05,
Wavelength [nm],Intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,
394.2455,16.846645,394.1616,16.630885,394.1616,17.220692,394.1616,16.586923,394.1616,17.019538,394.1616,17.333981,394.1616,16.78125,394.1616,16.533192,394.1616,16.411135,
394.5278,16.921947,394.4432,16.479795,394.4432,17.194863,394.4432,16.479795,394.4432,16.807022,394.4432,16.957794,394.4432,16.863955,394.4432,16.810614,394.4432,16.40625,
394.8100,16.903245,394.7248,16.066029,394.7248,17.331329,394.7248,16.46875,394.7248,16.925079,394.7248,16.848718,394.7248,16.759937,394.7248,16.930047,394.7248,16.521313,
395.0923,16.683473,395.0063,16.061208,395.0063,17.463581,395.0063,16.618539,395.0063,17.117247,395.0063,17.083413,395.0063,16.720042,395.0063,16.9375,395.0063,16.591166,
395.3746,16.805128,395.2879,17.15256,395.2879,16.596702,395.2879,16.625,395.2879,17.218434,395.2879,16.657726,395.2879,17.559653,395.2879,17.155512,395.2879,17.154352,
395.6569,16.913018,395.5694,16.966599,395.5694,16.860962,395.5694,16.965523,395.5694,17.0625,395.5694,16.912704,395.5694,17.397644,395.5694,16.990318,395.5694,16.996773,
395.9391,16.923829,395.8510,16.903998,395.8510,17.355008,395.8510,16.856988,395.8510,17.071506,395.8510,17.116265,395.8510,17.151747,395.8510,16.714247,395.8510,16.901747,
396.2214,16.927207,396.1326,16.885266,396.1326,17.523954,396.1326,16.635266,396.1326,17.190922,396.1326,17.413094,396.1326,17.114282,396.1326,16.652828,396.1326,16.840328,
396.5037,16.969873,396.4141,16.977924,396.4141,17.68664,396.4141,16.760034,396.4141,17.246273,396.4141,17.441227,396.4141,17.304186,396.4141,16.615826,396.4141,16.830848,
396.7859,16.987736,396.6957,17.065731,396.6957,17.454025,396.6957,17,396.6957,17.371769,396.6957,17.241022,396.6957,17.420259,396.6957,16.545259,396.6957,16.989222,
397.0682,16.990589,396.9772,17.211849,396.9772,17.25,396.9772,16.951691,396.9772,17.225651,396.9772,17.027993,396.9772,17.274736,396.9772,16.448046,396.9772,17.267059,
397.3505,17.06347,397.2588,17.155298,397.2588,17.330505,397.2588,16.837603,397.2588,17.362707,397.2588,17.002856,397.2588,17.0232,397.2588,16.479656,397.2588,17.397248,
397.6328,17.138804,397.5404,17.12686,397.5404,17.608472,397.5404,16.963223,397.5404,17.586362,397.5404,17.207695,397.5404,17.018389,397.5404,16.799639,397.5404,17.308833,
397.9150,17.109138,397.8219,17.260584,397.8219,17.687751,397.8219,16.761338,397.8219,17.230088,397.8219,16.927921,397.8219,17.021168,397.8219,16.947079,397.8219,17.354334,
398.1973,17.044771,398.1035,17.241682,398.1035,17.556203,398.1035,16.611513,398.1035,17.045865,398.1035,16.753148,398.1035,16.994831,398.1035,17.121852,398.1035,17.289568,
398.4796,17.041638,398.3851,17.306438,398.3851,17.261182,398.3851,16.863347,398.3851,17.049435,398.3851,16.875471,398.3851,17.043373,398.3851,17.024718,398.3851,17.199623,
398.7618,17.070959,398.6666,17.288883,398.6666,16.972566,398.6666,17.044967,398.6666,16.978651,398.6666,17.064768,398.6666,16.955033,398.6666,16.941316,398.6666,17.083849,
399.0441,17.103837,398.9482,17.174247,398.9482,16.967169,398.9482,16.884488,398.9482,17.090587,398.9482,17.142997,398.9482,16.818825,398.9482,16.90625,398.9482,17.075753,
399.3264,17.015554,399.2297,17.045267,399.2297,17.095679,399.2297,16.591821,399.2297,17.076517,399.2297,17.14159,399.2297,16.607767,399.2297,17.033822,399.2297,17.109053,
399.6087,17.014869,399.5113,17.071071,399.5113,17.47741,399.5113,16.568214,399.5113,16.965893,399.5113,17.051072,399.5113,16.889374,399.5113,17.241518,399.5113,17.247232,
399.8909,17.065393,399.7929,17.19256,399.7929,17.646129,399.7929,16.66131,399.7929,16.828569,399.7929,17.028276,399.7929,17.477984,399.7929,17.239879,399.7929,17.465776,
400.1732,17.096443,400.0744,17.21875,400.0744,17.651505,400.0744,16.976276,400.0744,16.807755,400.0744,17.132254,400.0744,17.591241,400.0744,17.033486,400.0744,17.608257,
