,Live Spectrum 26-10-2023 13:39:50,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:53,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
377.2679,16.682036,16.624017,16.518357,17.045126,16.783215,16.817964,16.477162,16.477162,16.883412,16.883412,16.883412,16.643357,16.643357,16.643357,16.714269,16.714269,16.714269,16.999017,16.999017,16.999017,16.607626,16.607626,17.080857,
377.5495,16.749286,16.507991,16.444777,17.258706,17.127143,16.710759,16.82192,16.82192,17.276117,17.276117,17.276117,16.601741,16.601741,16.601741,17.017411,17.017411,17.017411,16.875,16.875,16.875,16.773259,16.773259,17.007277,
377.8311,16.570483,16.636077,16.489357,17.441708,17.196596,16.868564,17.012191,17.012191,17.405817,17.405817,17.405817,16.720297,16.720297,16.720297,17.040346,17.040346,17.040346,16.770173,16.770173,16.770173,16.730941,16.730941,16.823143,
378.1126,16.463499,16.897125,16.783187,17.505251,16.696625,17.28125,16.847064,16.847064,16.895188,16.895188,16.895188,16.948562,16.948562,16.948562,16.606749,16.606749,16.606749,16.608686,16.608686,16.608686,16.665375,16.665375,16.551438,
378.3942,16.675356,16.962678,16.944462,17.230449,16.731784,17.243483,16.625,16.625,16.774288,16.774288,16.774288,16.96875,16.96875,16.96875,16.637144,16.637144,16.637144,16.863301,16.863301,16.863301,16.536877,16.536877,16.543839,
378.6758,16.693561,16.901232,17.220738,17.03428,16.85786,17.004073,16.625,16.625,16.625,16.625,16.625,16.94053,16.94053,16.94053,16.633049,16.633049,16.633049,17.158238,17.158238,17.158238,16.39214,16.39214,16.633049,
378.9573,16.406256,16.734376,17.499996,16.953126,16.999996,16.671878,16.703123,16.703123,16.812495,16.812495,16.812495,17.140618,17.140618,17.140618,16.89062,16.89062,16.89062,17.343749,17.343749,17.343749,16.281253,16.281253,16.796873,
379.2389,16.1361,16.6875,17.607867,17.026184,17.056466,16.579633,16.849784,16.849784,17.0514,17.0514,17.0514,17.375,17.375,17.375,17.131034,17.131034,17.131034,17.3236,17.3236,17.3236,16.307434,16.307434,16.9264,
379.5204,16.373296,16.817955,17.426023,17.125,16.944091,16.780114,17.018068,17.018068,17.131023,17.131023,17.131023,17.412273,17.412273,17.412273,17.075682,17.075682,17.075682,17.150795,17.150795,17.150795,16.667159,16.667159,17.006023,
379.8020,16.763834,17.067317,17.171566,17.286067,16.946517,17.027051,17.013216,17.013216,17.035449,17.035449,17.035449,17.3771,17.3771,17.3771,16.798666,16.798666,16.798666,17.042367,17.042367,17.042367,16.984684,16.984684,16.97085,
380.0836,17.091246,16.831881,17.245122,17.09388,16.644381,16.942378,17.011999,17.011999,17.228245,17.228245,17.228245,17.06263,17.06263,17.06263,17.011869,17.011869,17.011869,17.160998,17.160998,17.160998,16.954377,16.954377,17.088872,
380.3651,17.025731,16.75683,17.196951,16.96875,16.56933,17.059879,17.03125,17.03125,17.574849,17.574849,17.574849,16.9375,16.9375,16.9375,17.017591,17.017591,17.017591,16.987651,16.987651,16.987651,17.044909,17.044909,17.040701,
380.6467,16.96875,16.707482,16.984125,17.017928,16.765875,17.272535,16.736179,16.736179,17.852964,17.852964,17.852964,16.986678,16.986678,16.986678,16.870393,16.870393,16.870393,17.004607,17.004607,17.004607,17.241285,17.241285,16.877054,
380.9282,16.812373,16.6875,16.859312,17.135501,16.916751,17.234312,16.630187,16.630187,17.749873,17.749873,17.749873,17.156377,17.156377,17.156377,16.765562,16.765562,16.765562,17.265815,17.265815,17.265815,17.28125,17.28125,16.817687,
381.2098,16.75372,16.439726,16.84375,16.743294,16.854909,16.943446,16.59747,16.59747,16.810246,16.810246,16.810246,17.15997,17.15997,17.15997,16.832591,16.832591,16.832591,17.28497,17.28497,17.28497,17.28125,17.28125,16.78497,
381.4914,16.894961,16.522219,16.814758,16.658508,16.84375,16.64532,16.564758,16.564758,16.281609,16.281609,16.281609,17.127258,17.127258,17.127258,16.872742,16.872742,16.872742,16.904351,16.904351,16.904351,17.078304,17.078304,16.897219,
381.7729,17.24118,16.318112,16.842948,16.595354,16.721957,16.655448,16.714741,16.714741,16.341345,16.341345,16.341345,16.942311,16.942311,16.942311,16.844552,16.844552,16.844552,16.844552,16.844552,16.844552,16.788466,16.788466,16.936698,
382.0545,17.387451,16.34764,16.774119,16.561852,16.534491,16.805369,16.591157,16.591157,16.442038,16.442038,16.442038,16.90625,16.90625,16.90625,16.72264,16.72264,16.72264,16.807962,16.807962,16.807962,16.781898,16.781898,16.912733,
382.3360,16.481169,16.533342,16.466793,16.524973,16.668669,16.479212,16.493858,16.493858,16.643696,16.643696,16.643696,16.883234,16.883234,16.883234,16.895788,16.895788,16.895788,16.589565,16.589565,16.589565,16.827146,16.827146,17.214565,
382.6176,16.215219,16.587214,16.906776,16.451622,16.360352,16.642653,16.833158,16.833158,16.440505,16.440505,16.440505,16.527194,16.527194,16.527194,16.746469,16.746469,16.746469,16.517128,16.517128,16.517128,17.038311,17.038311,17.159781,
382.8992,16.167648,16.78125,17.126471,16.557537,16.004963,16.801102,16.710295,16.710295,16.248529,16.248529,16.248529,16.230148,16.230148,16.230148,16.753492,16.753492,16.753492,16.411213,16.411213,16.411213,17.098713,17.098713,17.157721,
383.1807,16.081669,16.78764,16.96875,16.601538,16.063199,16.89347,16.538339,16.538339,16.514877,16.514877,16.514877,16.220847,16.220847,16.220847,17.014178,17.014178,17.014178,16.546127,16.546127,16.546127,17.054712,17.054712,17.00639,
383.4623,16.203114,16.851554,16.999993,16.914054,16.249986,16.796886,16.773418,16.773418,16.953121,16.953121,16.953121,16.640614,16.640614,16.640614,17.335932,17.335932,17.335932,16.96875,16.96875,16.96875,16.765629,16.765629,17.046871,
383.7439,16.389879,16.85804,17.102976,17.14196,16.511307,16.637798,16.985121,16.985121,16.953871,16.953871,16.953871,16.762798,16.762798,16.762798,17.387798,17.387798,17.387798,16.987202,16.987202,16.987202,16.644943,16.644943,17.139879,
384.0254,16.531906,16.657562,17.008012,17.374344,16.708771,16.551209,16.768647,16.768647,16.726762,16.726762,16.726762,16.729385,16.729385,16.729385,17.269303,17.269303,17.269303,17.052521,17.052521,17.052521,16.490021,16.490021,17.335082,
384.3070,16.665983,16.721055,16.757172,17.131916,16.894467,16.661373,16.586578,16.586578,16.704662,16.704662,16.704662,16.9667,16.9667,16.9667,17.088883,17.088883,17.088883,17.033555,17.033555,17.033555,16.398822,16.398822,17.295338,
384.5885,16.727503,16.490632,16.772497,16.964681,17.030942,16.847819,16.651874,16.651874,16.99094,16.99094,16.99094,17.299063,17.299063,17.299063,16.923755,16.923755,16.923755,16.924063,16.924063,16.924063,16.308431,16.308431,17.035934,
384.8701,16.567276,16.268013,16.903066,17.243632,16.861763,16.53921,16.761645,16.761645,16.9375,16.9375,16.9375,17.073644,17.073644,17.073644,16.677447,16.677447,16.677447,16.876592,16.876592,16.876592,16.661527,16.661527,17.139829,
