,Live Spectrum 26-10-2023 13:34:48,Live Spectrum 26-10-2023 13:34:50,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:51,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:52,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:53,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:54,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:55,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:56,Live Spectrum 26-10-2023 13:34:57,Live Spectrum 26-10-2023 13:34:57,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
376.4233,16.59908,16.4375,17.095527,17.023099,16.75533,16.75533,17.003554,16.260661,16.665134,16.86967,16.86967,16.770589,16.74467,17.336643,16.725857,16.990072,16.990072,16.97408,
376.7048,16.697518,16.447518,17.094945,17.392892,16.867126,16.867126,17.042464,16.447518,16.795803,16.734498,16.734498,16.590411,16.636214,17.171998,16.840411,17.340411,17.340411,17.039124,
376.9864,16.820418,16.550834,16.838854,17.271458,17.033124,17.033124,16.855416,16.570418,16.646458,16.34375,16.34375,16.572292,16.463854,16.751874,16.783124,17.248853,17.248853,16.81927,
377.2679,17.037697,16.63691,16.8125,17.19941,16.836321,16.836321,16.737107,16.774803,16.606643,16.36309,16.36309,16.60566,16.469733,16.658215,16.599214,16.92559,16.92559,16.635928,
377.5495,17.0625,16.530536,16.892411,17.156964,16.639553,16.639553,16.743438,16.757991,16.680223,16.445491,16.445491,16.53125,16.609732,16.938214,16.444062,17.087902,17.087902,16.373571,
377.8311,16.986262,16.637624,16.839109,17.087995,16.585767,16.585767,16.877661,16.838428,16.587995,16.525928,16.525928,16.731374,16.818255,17.069369,16.433725,17.33422,17.33422,16.339975,
378.1126,16.768251,17.038438,16.397685,16.90681,16.648502,16.648502,16.823562,16.957688,16.285124,16.634125,16.634125,17.010502,17.110064,17.034564,16.803375,17.246126,17.246126,16.742812,
378.3942,16.674911,16.874555,16.844195,17.401068,16.330716,16.330716,16.906695,16.849377,16.519551,16.530805,16.530805,16.712678,16.880627,16.674021,16.931873,16.973932,16.973932,16.780805,
378.6758,16.62803,16.78125,16.866951,17.483902,16.261079,16.261079,16.915341,16.662311,16.743939,16.42339,16.42339,16.876988,16.665341,16.48286,17.09072,16.76411,16.76411,16.65928,
378.9573,16.624999,16.60938,16.703127,17.171879,16.562493,16.562493,16.843749,16.640624,16.703128,16.656243,16.656243,17.078124,16.624998,16.640621,17.140625,16.703127,16.703127,16.562502,
379.2389,16.690517,16.506034,16.710667,17.03125,16.881034,16.881034,16.909267,16.653233,16.559483,17.128985,17.128985,16.970799,16.704633,16.901184,17.121983,16.830601,16.830601,16.517133,
379.5204,16.867841,16.599773,16.855796,17.012614,16.825682,16.825682,16.956136,16.569091,16.717614,16.977045,16.977045,16.694659,16.681477,16.981364,17.168296,17.149091,17.149091,16.643068,
379.8020,17.049284,16.625,16.805583,16.758399,16.649333,16.649333,16.847949,16.59165,16.763216,16.10573,16.10573,16.613883,16.555583,16.888216,17.259017,17.129199,17.129199,16.879817,
380.0836,17.180248,16.884495,16.598628,17.035867,16.528876,16.528876,16.932622,16.473628,16.740375,16.204116,16.204116,17.014243,16.694621,16.454507,16.913632,16.867879,16.867879,16.557883,
380.3651,17.14942,16.93067,16.184602,17.21875,16.54622,16.54622,16.95378,16.544909,16.75,16.591129,16.591129,16.956401,16.71192,16.28125,16.75,16.73503,16.73503,16.652318,
380.6467,17.075822,16.635768,16.554285,17.169572,16.636268,16.636268,16.740786,16.888821,16.897535,17.000499,17.000499,16.776643,16.613732,16.182893,16.676232,16.890875,16.890875,16.946714,
380.9282,17.0625,16.510374,16.922065,17.130187,16.760501,16.760501,16.609312,16.890562,16.833249,17.09375,17.09375,16.958502,16.515562,16.364752,16.604124,17.093877,17.093877,17,
381.2098,17.09003,16.555061,16.142837,16.959817,16.863841,16.863841,16.703872,16.682287,16.454604,16.818446,16.818446,16.752226,16.582591,16.598963,16.538689,17.372774,17.372774,16.669635,
381.4914,17.122742,16.5625,16.234196,16.850523,16.903992,16.903992,16.950688,16.453304,16.40625,16.694273,16.694273,16.515804,16.767703,16.653992,16.763188,17.261289,17.261289,16.36407,
381.7729,16.516036,16.623396,16.889413,16.813302,16.601768,16.601768,17.029646,16.833327,16.588939,16.596155,16.596155,16.560896,16.750802,16.443112,16.598561,16.427898,16.427898,16.34375,
382.0545,16.403009,16.635506,16.533195,16.904953,16.46486,16.46486,17.251297,16.931666,16.719398,16.595695,16.595695,16.899119,16.783195,16.378241,16.632131,16.20241,16.20241,16.547456,
382.3360,16.270923,15.687635,16.622908,16.852119,16.28125,16.28125,17.304131,16.664619,16.754185,16.693777,16.693777,16.5625,16.875,16.533342,16.956196,16.868588,16.868588,17.297854,
382.6176,16.622521,16.202674,16.583158,16.954628,16.277719,16.277719,17.162786,16.813026,16.819561,16.760066,16.760066,16.573092,16.853816,16.566031,16.78125,16.308444,16.308444,17.065505,
382.8992,17.09375,16.817463,16.529779,16.794119,16.289705,16.289705,16.938971,17.067463,16.850184,16.573898,16.573898,16.676102,16.702389,16.598713,16.776287,16.070955,16.070955,16.84375,
383.1807,17.10014,16.805411,16.738618,16.588758,16.538339,16.538339,16.749301,17.132089,16.71236,16.424021,16.424021,16.730132,16.77486,16.61861,16.781949,16.332368,16.332368,16.875699,
383.4623,17.031271,16.632818,16.9375,16.890607,16.695311,16.695311,16.656243,17.265629,16.710932,16.234379,16.234379,16.53125,16.796864,16.609371,16.960925,16.507818,16.507818,16.984379,
383.7439,16.694645,16.544048,16.9375,17.088097,16.681847,16.681847,16.777678,17.191072,16.836605,16.224403,16.224403,16.485121,16.983629,16.739283,17.189581,16.502081,16.502081,16.845241,
384.0254,16.541229,16.563812,16.863053,16.787295,16.519303,16.519303,16.886291,17.082459,17.053832,16.365676,16.365676,16.311188,17.168197,17.022582,17.279938,16.815779,16.815779,16.465471,
384.3070,16.813012,16.771772,16.71875,16.459272,16.435195,16.435195,16.896517,16.903689,17.026127,16.480789,16.480789,16.29585,17.155994,16.766138,16.915472,17.004611,17.004611,16.469262,
384.5885,17.258753,16.825629,16.691876,16.674371,16.611871,16.611871,16.714066,16.776874,16.839681,16.446253,16.446253,16.42844,16.852503,16.13406,16.558124,16.745316,16.745316,16.995624,
