,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
373.6076,16.994462,16.539444,16.539444,17.20434,16.917099,16.917099,17.079566,17.079566,17.096632,17.096632,17.096632,17.096632,17.096632,17.096632,17.056962,16.744236,16.744236,16.744236,16.161562,16.161562,16.161562,
373.8892,17.056371,16.349879,16.349879,17.04381,16.599879,16.599879,17.131129,17.131129,17.068931,17.068931,17.068931,17.10631,17.10631,17.10631,17.13756,16.762258,16.762258,16.762258,16.130524,16.130524,16.130524,
374.1708,17.051557,16.578069,16.578069,17.071864,16.909296,16.909296,17.196864,17.196864,16.868795,16.868795,16.868795,17.09375,17.09375,17.09375,17.206228,16.914034,16.914034,16.914034,16.443705,16.443705,16.443705,
374.4523,17.084418,16.775173,16.775173,17.049914,17.150173,17.150173,16.999568,16.999568,16.868923,16.868923,16.868923,17.269095,17.269095,17.269095,17.271918,16.96875,16.96875,16.96875,16.597004,16.597004,16.597004,
374.7339,17.117273,17.000687,17.000687,17.03125,17.11693,17.11693,16.69454,16.69454,16.97682,16.97682,16.97682,17.34375,17.34375,17.34375,17.445913,17.203983,17.203983,17.203983,16.648523,16.648523,16.648523,
375.0155,17.200367,17.0625,17.0625,16.880515,16.943015,16.943015,16.599878,16.599878,17.10049,17.10049,17.10049,17.24326,17.24326,17.24326,17.5,17.406862,17.406862,17.406862,16.530638,16.530638,16.530638,
375.2970,17.165319,16.928923,16.928923,16.683457,16.959681,16.959681,16.59375,16.59375,16.937992,16.937992,16.937992,16.978311,16.978311,16.978311,17.312992,17.384069,17.384069,17.384069,16.927448,16.927448,16.927448,
375.5786,17.099645,16.821343,16.821343,16.42983,16.685725,16.685725,16.791867,16.791867,16.67983,16.67983,16.67983,16.880895,16.880895,16.880895,17.05483,17.318395,17.318395,17.318395,17.22642,17.22642,17.22642,
375.8601,16.735149,17.021684,17.021684,16.734967,17.014851,17.014851,16.782617,16.782617,16.895317,16.895317,16.895317,16.845117,16.845117,16.845117,17.180667,17.22285,17.22285,17.22285,16.951166,16.951166,16.951166,
376.1417,16.656458,17.002082,17.002082,16.904168,16.999167,16.999167,16.875,16.875,16.748334,16.748334,16.748334,17.001666,17.001666,17.001666,17.062292,17.092709,17.092709,17.092709,16.938541,16.938541,16.938541,
376.4233,16.705268,17.335599,17.335599,16.597304,16.885661,16.885661,16.86967,16.86967,16.49467,16.49467,16.49467,17.248223,17.248223,17.248223,17.02592,16.94283,16.94283,16.94283,17.091973,17.091973,17.091973,
376.7048,17.020036,17.671998,17.671998,16.676286,17.039124,17.039124,16.771232,16.771232,16.389553,16.389553,16.389553,17.228768,17.228768,17.228768,16.970894,17.027911,17.027911,17.027911,17.039124,17.039124,17.039124,
376.9864,17.197292,17.212707,17.212707,16.838854,16.824166,16.824166,16.6875,16.6875,16.264688,16.264688,16.264688,17.302708,17.302708,17.302708,17.254896,16.965728,16.965728,16.965728,16.848646,16.848646,16.848646,
377.2679,17.198428,16.779285,16.779285,16.735142,16.692964,16.692964,16.655267,16.655267,16.382429,16.382429,16.382429,17.204874,17.204874,17.204874,17.26191,16.620087,16.620087,16.620087,16.89434,16.89434,16.89434,
377.5495,16.92808,16.659108,16.659108,16.373571,16.585759,16.585759,16.587188,16.587188,16.587188,16.587188,16.587188,17.007277,17.007277,17.007277,17.211473,15.960044,15.960044,15.960044,16.96875,16.96875,16.96875,
377.8311,16.585334,17.050309,17.050309,16.339975,16.838862,16.838862,16.587995,16.587995,16.816708,16.816708,16.816708,16.794554,16.794554,16.794554,17.090656,16.224938,16.224938,16.224938,16.854393,16.854393,16.854393,
378.1126,16.347624,17.071625,17.071625,16.720687,17.413438,17.413438,16.274062,16.274062,17.001937,17.001937,17.001937,16.590436,16.590436,16.590436,16.711562,17.115875,17.115875,17.115875,16.604812,16.604812,16.604812,
378.3942,16.607229,16.943127,16.943127,16.743483,17.199199,17.199199,16.50089,16.50089,17.075089,17.075089,17.075089,16.925801,16.925801,16.925801,16.762144,17.194017,17.194017,17.194017,16.625,16.625,16.625,
378.6758,16.713732,16.8125,16.8125,16.772159,16.974811,16.974811,16.67339,16.67339,17.09375,17.09375,17.09375,17.10786,17.10786,17.10786,16.65928,17.348768,17.348768,17.348768,16.61089,16.61089,16.61089,
378.9573,16.671873,16.874998,16.874998,16.875,16.703131,16.703131,16.687499,16.687499,17.140624,17.140624,17.140624,16.968754,16.968754,16.968754,16.812495,17.406252,17.406252,17.406252,16.656248,16.656248,16.656248,
